XLabel,Wavenumber
YLabel,Absorbance
FileType,Absorbance
DisplayDirection,20300
PeakDirection,20310
650.431154,0.515189
651.363004,0.512983
652.294854,0.510802
653.226704,0.507974
654.158554,0.503857
655.090403,0.499524
656.022253,0.495727
656.954103,0.491556
657.885953,0.488495
658.817803,0.485741
659.749652,0.484575
660.681502,0.482244
661.613352,0.480027
662.545202,0.477331
663.477051,0.476517
664.408901,0.474166
665.340751,0.472186
666.272601,0.465373
667.204451,0.471535
668.136300,0.481558
669.068150,0.454770
670.000000,0.447715
670.931850,0.445118
671.863700,0.444399
672.795549,0.441078
673.727399,0.438870
674.659249,0.436972
675.591099,0.435757
676.522949,0.434563
677.454798,0.433437
678.386648,0.431577
679.318498,0.429592
680.250348,0.427186
681.182197,0.423631
682.114047,0.418764
683.045897,0.414057
683.977747,0.410822
684.909597,0.407907
685.841446,0.404735
686.773296,0.401523
687.705146,0.399194
688.636996,0.398990
689.568846,0.398652
690.500695,0.397061
691.432545,0.395770
692.364395,0.394945
693.296245,0.393951
694.228095,0.392789
695.159944,0.389576
696.091794,0.386319
697.023644,0.383411
697.955494,0.380546
698.887344,0.376898
699.819193,0.373687
700.751043,0.371561
701.682893,0.370542
702.614743,0.369273
703.546592,0.369023
704.478442,0.369577
705.410292,0.370496
706.342142,0.370042
707.273992,0.368675
708.205841,0.366941
709.137691,0.365631
710.069541,0.363575
711.001391,0.360355
711.933241,0.357048
712.865090,0.354406
713.796940,0.352586
714.728790,0.351111
715.660640,0.349649
716.592490,0.349440
717.524339,0.349680
718.456189,0.349630
719.388039,0.350094
720.319889,0.351179
721.251739,0.350671
722.183588,0.349949
723.115438,0.348675
724.047288,0.346732
724.979138,0.344890
725.910987,0.342213
726.842837,0.339682
727.774687,0.337000
728.706537,0.335122
729.638387,0.334674
730.570236,0.335089
731.502086,0.335288
732.433936,0.336032
733.365786,0.336761
734.297636,0.337172
735.229485,0.337067
736.161335,0.335720
737.093185,0.334085
738.025035,0.332626
738.956885,0.330533
739.888734,0.328585
740.820584,0.326475
741.752434,0.324194
742.684284,0.323094
743.616134,0.321808
744.547983,0.320862
745.479833,0.321022
746.411683,0.321543
747.343533,0.321903
748.275382,0.321972
749.207232,0.321928
750.139082,0.321723
751.070932,0.320550
752.002782,0.318212
752.934631,0.315726
753.866481,0.312859
754.798331,0.309994
755.730181,0.307152
756.662031,0.304548
757.593880,0.303208
758.525730,0.302876
759.457580,0.302921
760.389430,0.303410
761.321280,0.303391
762.253129,0.303329
763.184979,0.303548
764.116829,0.302766
765.048679,0.301195
765.980529,0.299149
766.912378,0.296960
767.844228,0.294523
768.776078,0.291545
769.707928,0.288815
770.639777,0.287514
771.571627,0.287264
772.503477,0.286874
773.435327,0.286722
774.367177,0.287517
775.299026,0.288842
776.230876,0.289723
777.162726,0.290792
778.094576,0.291945
779.026426,0.292317
779.958275,0.291876
780.890125,0.291344
781.821975,0.290966
782.753825,0.291508
783.685675,0.293169
784.617524,0.294879
785.549374,0.297383
786.481224,0.301587
787.413074,0.307617
788.344924,0.314985
789.276773,0.323191
790.208623,0.332090
791.140473,0.340721
792.072323,0.346585
793.004172,0.348842
793.936022,0.348642
794.867872,0.346813
795.799722,0.343169
796.731572,0.338535
797.663421,0.333733
798.595271,0.329684
799.527121,0.326299
800.458971,0.323100
801.390821,0.320354
802.322670,0.318540
803.254520,0.317544
804.186370,0.316448
805.118220,0.314793
806.050070,0.312591
806.981919,0.310217
807.913769,0.308009
808.845619,0.305427
809.777469,0.301586
810.709318,0.297587
811.641168,0.294404
812.573018,0.291630
813.504868,0.289108
814.436718,0.287561
815.368567,0.286942
816.300417,0.286888
817.232267,0.287045
818.164117,0.286907
819.095967,0.286793
820.027816,0.287125
820.959666,0.286651
821.891516,0.284966
822.823366,0.282857
823.755216,0.280302
824.687065,0.277507
825.618915,0.274497
826.550765,0.271693
827.482615,0.269926
828.414465,0.268785
829.346314,0.267839
830.278164,0.267393
831.210014,0.267866
832.141864,0.269136
833.073713,0.270029
834.005563,0.269999
834.937413,0.269420
835.869263,0.268250
836.801113,0.266954
837.732962,0.265186
838.664812,0.262911
839.596662,0.261176
840.528512,0.259909
841.460362,0.258207
842.392211,0.257330
843.324061,0.257637
844.255911,0.258568
845.187761,0.259855
846.119611,0.260968
847.051460,0.262016
847.983310,0.263391
848.915160,0.263737
849.847010,0.262793
850.778860,0.261652
851.710709,0.260229
852.642559,0.258689
853.574409,0.257523
854.506259,0.256399
855.438108,0.255679
856.369958,0.255467
857.301808,0.255853
858.233658,0.257005
859.165508,0.258111
860.097357,0.259336
861.029207,0.260845
861.961057,0.261736
862.892907,0.262040
863.824757,0.262273
864.756606,0.262102
865.688456,0.260908
866.620306,0.258860
867.552156,0.257151
868.484006,0.256093
869.415855,0.255030
870.347705,0.254394
871.279555,0.254472
872.211405,0.255459
873.143255,0.256903
874.075104,0.258648
875.006954,0.260107
875.938804,0.260879
876.870654,0.261472
877.802503,0.261805
878.734353,0.261191
879.666203,0.259746
880.598053,0.258299
881.529903,0.257009
882.461752,0.255419
883.393602,0.254583
884.325452,0.254642
885.257302,0.255082
886.189152,0.256073
887.121001,0.257039
888.052851,0.258242
888.984701,0.260435
889.916551,0.262349
890.848401,0.263675
891.780250,0.264587
892.712100,0.265075
893.643950,0.265029
894.575800,0.264500
895.507650,0.263614
896.439499,0.262886
897.371349,0.262596
898.303199,0.262416
899.235049,0.262702
900.166898,0.263460
901.098748,0.264195
902.030598,0.265502
902.962448,0.267298
903.894298,0.268381
904.826147,0.268431
905.757997,0.267969
906.689847,0.267221
907.621697,0.265532
908.553547,0.263486
909.485396,0.261801
910.417246,0.260211
911.349096,0.258791
912.280946,0.257903
913.212796,0.257681
914.144645,0.258635
915.076495,0.260172
916.008345,0.261409
916.940195,0.262882
917.872045,0.264393
918.803894,0.265675
919.735744,0.266586
920.667594,0.266679
921.599444,0.266192
922.531293,0.265308
923.463143,0.263868
924.394993,0.262846
925.326843,0.262155
926.258693,0.261629
927.190542,0.261959
928.122392,0.262724
929.054242,0.263853
929.986092,0.265809
930.917942,0.268042
931.849791,0.269572
932.781641,0.270694
933.713491,0.271576
934.645341,0.272009
935.577191,0.271764
936.509040,0.271010
937.440890,0.270112
938.372740,0.269383
939.304590,0.268859
940.236439,0.268729
941.168289,0.269055
942.100139,0.269821
943.031989,0.271077
943.963839,0.272436
944.895688,0.274009
945.827538,0.276031
946.759388,0.278104
947.691238,0.279579
948.623088,0.280021
949.554937,0.279943
950.486787,0.279861
951.418637,0.279528
952.350487,0.278963
953.282337,0.278375
954.214186,0.278323
955.146036,0.279060
956.077886,0.280034
957.009736,0.281612
957.941586,0.283561
958.873435,0.285538
959.805285,0.287944
960.737135,0.290268
961.668985,0.291998
962.600834,0.293101
963.532684,0.294125
964.464534,0.294961
965.396384,0.294901
966.328234,0.294405
967.260083,0.294288
968.191933,0.294104
969.123783,0.293380
970.055633,0.292960
970.987483,0.293412
971.919332,0.294225
972.851182,0.295142
973.783032,0.295885
974.714882,0.296885
975.646732,0.297989
976.578581,0.298519
977.510431,0.298303
978.442281,0.297721
979.374131,0.297113
980.305981,0.296595
981.237830,0.295906
982.169680,0.295375
983.101530,0.295428
984.033380,0.296189
984.965229,0.297355
985.897079,0.298594
986.828929,0.300208
987.760779,0.302108
988.692629,0.303821
989.624478,0.305220
990.556328,0.306026
991.488178,0.306693
992.420028,0.307143
993.351878,0.307065
994.283727,0.306592
995.215577,0.306297
996.147427,0.306285
997.079277,0.306930
998.011127,0.307735
998.942976,0.308920
999.874826,0.311154
1000.806676,0.313833
1001.738526,0.316238
1002.670376,0.318394
1003.602225,0.321012
1004.534075,0.323787
1005.465925,0.326265
1006.397775,0.328766
1007.329624,0.332105
1008.261474,0.336503
1009.193324,0.342242
1010.125174,0.349737
1011.057024,0.358998
1011.988873,0.368707
1012.920723,0.376425
1013.852573,0.379992
1014.784423,0.378822
1015.716273,0.374823
1016.648122,0.370497
1017.579972,0.367041
1018.511822,0.364155
1019.443672,0.361143
1020.375522,0.358783
1021.307371,0.356958
1022.239221,0.355286
1023.171071,0.353788
1024.102921,0.352854
1025.034771,0.353133
1025.966620,0.354347
1026.898470,0.355817
1027.830320,0.357970
1028.762170,0.360966
1029.694019,0.364332
1030.625869,0.367848
1031.557719,0.371798
1032.489569,0.375755
1033.421419,0.379227
1034.353268,0.382054
1035.285118,0.384414
1036.216968,0.386219
1037.148818,0.387008
1038.080668,0.386482
1039.012517,0.384966
1039.944367,0.382182
1040.876217,0.378670
1041.808067,0.375415
1042.739917,0.372280
1043.671766,0.369077
1044.603616,0.366446
1045.535466,0.364573
1046.467316,0.362733
1047.399166,0.360791
1048.331015,0.358975
1049.262865,0.357383
1050.194715,0.355425
1051.126565,0.353032
1052.058414,0.351066
1052.990264,0.349486
1053.922114,0.348085
1054.853964,0.346923
1055.785814,0.346290
1056.717663,0.346308
1057.649513,0.347272
1058.581363,0.348271
1059.513213,0.348930
1060.445063,0.349718
1061.376912,0.350635
1062.308762,0.351306
1063.240612,0.351706
1064.172462,0.351737
1065.104312,0.351259
1066.036161,0.350691
1066.968011,0.350402
1067.899861,0.349838
1068.831711,0.349147
1069.763561,0.349182
1070.695410,0.349750
1071.627260,0.350483
1072.559110,0.351259
1073.490960,0.352148
1074.422809,0.353352
1075.354659,0.354317
1076.286509,0.354537
1077.218359,0.354530
1078.150209,0.354612
1079.082058,0.354278
1080.013908,0.353728
1080.945758,0.353389
1081.877608,0.353109
1082.809458,0.352873
1083.741307,0.352915
1084.673157,0.353557
1085.605007,0.354197
1086.536857,0.354639
1087.468707,0.355234
1088.400556,0.355614
1089.332406,0.355632
1090.264256,0.355591
1091.196106,0.355493
1092.127955,0.354899
1093.059805,0.354044
1093.991655,0.353408
1094.923505,0.352851
1095.855355,0.352189
1096.787204,0.351485
1097.719054,0.351397
1098.650904,0.352094
1099.582754,0.353048
1100.514604,0.354466
1101.446453,0.355861
1102.378303,0.356956
1103.310153,0.358174
1104.242003,0.359188
1105.173853,0.359580
1106.105702,0.359612
1107.037552,0.359807
1107.969402,0.359875
1108.901252,0.359371
1109.833102,0.358889
1110.764951,0.358826
1111.696801,0.359323
1112.628651,0.360039
1113.560501,0.361009
1114.492350,0.362729
1115.424200,0.364982
1116.356050,0.366896
1117.287900,0.368452
1118.219750,0.370113
1119.151599,0.371586
1120.083449,0.372604
1121.015299,0.373187
1121.947149,0.373314
1122.878999,0.373595
1123.810848,0.374370
1124.742698,0.375223
1125.674548,0.376392
1126.606398,0.378003
1127.538248,0.380079
1128.470097,0.382802
1129.401947,0.385626
1130.333797,0.388181
1131.265647,0.391044
1132.197497,0.394210
1133.129346,0.396840
1134.061196,0.398780
1134.993046,0.400739
1135.924896,0.402713
1136.856745,0.404086
1137.788595,0.405402
1138.720445,0.407344
1139.652295,0.409490
1140.584145,0.411631
1141.515994,0.414407
1142.447844,0.417588
1143.379694,0.420799
1144.311544,0.424208
1145.243394,0.427566
1146.175243,0.430487
1147.107093,0.433439
1148.038943,0.435986
1148.970793,0.437678
1149.902643,0.439416
1150.834492,0.441016
1151.766342,0.442449
1152.698192,0.443872
1153.630042,0.444932
1154.561892,0.446263
1155.493741,0.448056
1156.425591,0.450028
1157.357441,0.451658
1158.289291,0.453114
1159.221140,0.454653
1160.152990,0.455906
1161.084840,0.456564
1162.016690,0.456794
1162.948540,0.456531
1163.880389,0.455980
1164.812239,0.454894
1165.744089,0.453071
1166.675939,0.450984
1167.607789,0.448916
1168.539638,0.446879
1169.471488,0.444846
1170.403338,0.442767
1171.335188,0.440964
1172.267038,0.438937
1173.198887,0.436756
1174.130737,0.434808
1175.062587,0.432719
1175.994437,0.429646
1176.926287,0.426447
1177.858136,0.423444
1178.789986,0.419927
1179.721836,0.416036
1180.653686,0.412374
1181.585535,0.408850
1182.517385,0.405198
1183.449235,0.401647
1184.381085,0.398979
1185.312935,0.396865
1186.244784,0.394436
1187.176634,0.392206
1188.108484,0.390332
1189.040334,0.388598
1189.972184,0.386720
1190.904033,0.384344
1191.835883,0.381785
1192.767733,0.379355
1193.699583,0.376636
1194.631433,0.373859
1195.563282,0.371450
1196.495132,0.368984
1197.426982,0.366838
1198.358832,0.365168
1199.290682,0.363717
1200.222531,0.362456
1201.154381,0.361674
1202.086231,0.360842
1203.018081,0.359745
1203.949930,0.358852
1204.881780,0.358094
1205.813630,0.357002
1206.745480,0.355718
1207.677330,0.354179
1208.609179,0.352490
1209.541029,0.350877
1210.472879,0.349565
1211.404729,0.348530
1212.336579,0.347996
1213.268428,0.347929
1214.200278,0.348047
1215.132128,0.348338
1216.063978,0.348482
1216.995828,0.348803
1217.927677,0.349203
1218.859527,0.349189
1219.791377,0.348712
1220.723227,0.348209
1221.655076,0.347938
1222.586926,0.347690
1223.518776,0.347377
1224.450626,0.347167
1225.382476,0.347501
1226.314325,0.348360
1227.246175,0.349527
1228.178025,0.350891
1229.109875,0.352801
1230.041725,0.355370
1230.973574,0.358248
1231.905424,0.361115
1232.837274,0.364034
1233.769124,0.367349
1234.700974,0.370662
1235.632823,0.373696
1236.564673,0.376953
1237.496523,0.380664
1238.428373,0.384576
1239.360223,0.388910
1240.292072,0.393597
1241.223922,0.398355
1242.155772,0.403221
1243.087622,0.407567
1244.019471,0.411489
1244.951321,0.414541
1245.883171,0.416352
1246.815021,0.417453
1247.746871,0.418183
1248.678720,0.418624
1249.610570,0.418829
1250.542420,0.419014
1251.474270,0.419544
1252.406120,0.419975
1253.337969,0.420211
1254.269819,0.420330
1255.201669,0.420146
1256.133519,0.419349
1257.065369,0.418094
1257.997218,0.416771
1258.929068,0.415370
1259.860918,0.413570
1260.792768,0.411496
1261.724618,0.407858
1262.656467,0.403668
1263.588317,0.399740
1264.520167,0.395235
1265.452017,0.390469
1266.383866,0.385520
1267.315716,0.380358
1268.247566,0.375243
1269.179416,0.370230
1270.111266,0.365495
1271.043115,0.360978
1271.974965,0.356724
1272.906815,0.352600
1273.838665,0.348142
1274.770515,0.344625
1275.702364,0.341832
1276.634214,0.339168
1277.566064,0.336926
1278.497914,0.335486
1279.429764,0.334718
1280.361613,0.334312
1281.293463,0.334045
1282.225313,0.333933
1283.157163,0.333517
1284.089013,0.332052
1285.020862,0.329167
1285.952712,0.326231
1286.884562,0.324264
1287.816412,0.322855
1288.748261,0.321201
1289.680111,0.318794
1290.611961,0.316608
1291.543811,0.314535
1292.475661,0.311819
1293.407510,0.309041
1294.339360,0.306716
1295.271210,0.304867
1296.203060,0.303215
1297.134910,0.301810
1298.066759,0.300163
1298.998609,0.298686
1299.930459,0.297918
1300.862309,0.297440
1301.794159,0.297194
1302.726008,0.296981
1303.657858,0.296891
1304.589708,0.296555
1305.521558,0.295699
1306.453408,0.294524
1307.385257,0.293587
1308.317107,0.292762
1309.248957,0.291383
1310.180807,0.289629
1311.112656,0.288962
1312.044506,0.289476
1312.976356,0.290842
1313.908206,0.291164
1314.840056,0.290213
1315.771905,0.289588
1316.703755,0.290153
1317.635605,0.291859
1318.567455,0.292352
1319.499305,0.292548
1320.431154,0.290624
1321.363004,0.287825
1322.294854,0.286395
1323.226704,0.285243
1324.158554,0.284822
1325.090403,0.284028
1326.022253,0.283318
1326.954103,0.283096
1327.885953,0.283557
1328.817803,0.283902
1329.749652,0.284719
1330.681502,0.285336
1331.613352,0.285410
1332.545202,0.285472
1333.477051,0.285504
1334.408901,0.284850
1335.340751,0.284953
1336.272601,0.285958
1337.204451,0.288274
1338.136300,0.288898
1339.068150,0.291145
1340.000000,0.293345
1340.931850,0.291043
1341.863700,0.284820
1342.795549,0.282054
1343.727399,0.283981
1344.659249,0.285579
1345.591099,0.286495
1346.522949,0.287051
1347.454798,0.287844
1348.386648,0.288824
1349.318498,0.289998
1350.250348,0.290422
1351.182197,0.289839
1352.114047,0.290506
1353.045897,0.292207
1353.977747,0.294268
1354.909597,0.296772
1355.841446,0.299216
1356.773296,0.300742
1357.705146,0.303937
1358.636996,0.308739
1359.568846,0.313860
1360.500695,0.321392
1361.432545,0.332311
1362.364395,0.341583
1363.296245,0.348339
1364.228095,0.347709
1365.159944,0.338165
1366.091794,0.336935
1367.023644,0.335614
1367.955494,0.330520
1368.887344,0.325116
1369.819193,0.316071
1370.751043,0.306499
1371.682893,0.303207
1372.614743,0.303410
1373.546592,0.307005
1374.478442,0.310631
1375.410292,0.303924
1376.342142,0.294519
1377.273992,0.292266
1378.205841,0.294280
1379.137691,0.295080
1380.069541,0.292648
1381.001391,0.291955
1381.933241,0.292439
1382.865090,0.293882
1383.796940,0.296016
1384.728790,0.298981
1385.660640,0.302689
1386.592490,0.308472
1387.524339,0.313942
1388.456189,0.309378
1389.388039,0.298454
1390.319889,0.298336
1391.251739,0.302267
1392.183588,0.303977
1393.115438,0.306525
1394.047288,0.313987
1394.979138,0.320519
1395.910987,0.312545
