Heat Rate,Peak Temp (C),Height (W/g)
1,155.4,1.3566
2,155.5,2.4256
5,155.71,4.6811
10,155.97,7.1608
15,156.17,8.7492
20,156.37,9.8964
50,157.38,13.2385
100,158.87,15.1974
150,160.25,16.0861
200,161.58,16.7268
