Heat Rate,log10(Heat Rate),Peak Temp (C),Height (W/g)
1,0,155.4,1.3566
2,0.301029996,155.5,2.4256
5,0.698970004,155.71,4.6811
10,1,155.97,7.1608
15,1.176091259,156.17,8.7492
20,1.301029996,156.37,9.8964
50,1.698970004,157.38,13.2385
100,2,158.87,15.1974
150,2.176091259,160.25,16.0861
200,2.301029996,161.58,16.7268
